name,name_lc,wikidata,start_date,term,gender
CENNI Susanna,cenni susanna,Q15633011,2013-03-15,17,female
CENSORE Bruno,censore bruno,Q16533874,2013-03-15,17,male
CENTEMERO Elena,centemero elena,Q3721400,2013-03-15,17,female
CESARO Antimo,cesaro antimo,Q16527187,2013-03-15,17,male
CESARO Luigi,cesaro luigi,Q597654,2013-03-15,17,male
CHAOUKI Khalid,chaouki khalid,Q8466918,2013-03-15,17,male
CHIARELLI Gianfranco Giovanni,chiarelli gianfranco giovanni,Q15888129,2015-11-19,17,male
CHIMIENTI Silvia,chimienti silvia,Q15623361,2013-03-15,17,female
CICCHITTO Fabrizio,cicchitto fabrizio,Q3737980,2013-11-18,17,male
CIMBRO Eleonora,cimbro eleonora,Q15961984,2013-03-15,17,female
CIPRINI Tiziana,ciprini tiziana,Q15653992,2013-03-15,17,female
CIRACI' Nicola,ciraci' nicola,Q17438822,2015-11-19,17,male
CIRIELLI Edmondo,cirielli edmondo,Q3719439,2013-04-03,17,male
CIVATI Giuseppe,civati giuseppe,Q3770328,2015-11-17,17,male
COCCIA Laura,coccia laura,Q16571308,2013-03-15,17,female
COLANINNO Matteo,colaninno matteo,Q3852103,2013-03-15,17,male
COLLETTI Andrea,colletti andrea,Q15705391,2013-03-15,17,male
COLONNESE Vega,colonnese vega,Q15708653,2013-03-15,17,female
COMINARDI Claudio,cominardi claudio,Q15976360,2013-03-15,17,male
COMINELLI Miriam,cominelli miriam,Q14218257,2013-03-15,17,female
COPPOLA Paolo,coppola paolo,Q15300645,2013-03-15,17,male
CORDA Emanuela,corda emanuela,Q15944960,2013-03-15,17,female
CORSARO Massimo Enrico,corsaro massimo enrico,Q3851209,2015-11-19,17,male
COSCIA Maria,coscia maria,Q13405623,2013-03-15,17,female
COSTA Enrico,costa enrico,Q3725703,2013-11-18,17,male
COSTANTINO Celeste,costantino celeste,Q16538746,2013-03-15,17,female
COVA Paolo,cova paolo,Q16586827,2013-03-15,17,male
COVELLO Stefania,covello stefania,Q15631879,2013-03-15,17,female
COZZOLINO Emanuele,cozzolino emanuele,Q15944965,2013-03-15,17,male
CRIMI Rocco,crimi rocco,Q3437457,2013-03-15,17,male
CRIMI' Filippo,crimi' filippo,Q16556029,2013-03-15,17,male
CRIPPA Davide,crippa davide,Q16548822,2013-03-15,17,male
CRIVELLARI Diego,crivellari diego,Q16549632,2013-03-15,17,male
CULOTTA Magda,culotta magda,Q15131526,2013-03-15,17,female
CUOMO Antonio,cuomo antonio,Q16657904,2013-03-15,17,male
CUOMO Antonio,cuomo antonio,Q16657904,2015-07-29,17,male
CUPERLO Giovanni,cuperlo giovanni,Q3763486,2013-03-15,17,male
CURRO' Tommaso,curro' tommaso,Q15654335,2015-04-01,17,male
D'AGOSTINO Angelo Antonio,d'agostino angelo antonio,Q16526625,2016-10-13,17,male
D'ALESSANDRO Luca,d'alessandro luca,Q15117584,2016-10-13,17,male
D'ALIA Gianpiero,d'alia gianpiero,Q3763740,2014-12-16,17,male
D'AMBROSIO Giuseppe,d'ambrosio giuseppe,Q16560729,2013-03-15,17,male
D'ARIENZO Vincenzo,d'arienzo vincenzo,Q16621784,2013-03-15,17,male
D'ATTORRE Alfredo,d'attorre alfredo,Q16525403,2015-11-06,17,male
D'INCA' Federico,d'inca' federico,Q15936378,2013-03-15,17,male
D'INCECCO Vittoria,d'incecco vittoria,Q16622444,2013-03-15,17,female
D'OTTAVIO Umberto,d'ottavio umberto,Q16619202,2013-03-15,17,male
D'UVA Francesco,d'uva francesco,Q15838900,2013-03-15,17,male
DA VILLA Marco,da villa marco,Q16575799,2013-03-15,17,male
DADONE Fabiana,dadone fabiana,Q15936524,2013-03-15,17,female
DAGA Federica,daga federica,Q15936417,2013-03-15,17,female
DAL MORO Gian Pietro,dal moro gian pietro,Q15896993,2013-03-15,17,male
DALL'OSSO Matteo,dall'osso matteo,Q16268318,2013-03-15,17,male
DALLAI Luigi,dallai luigi,Q15138239,2013-03-15,17,male
DAMBRUOSO Stefano,dambruoso stefano,Q3720230,2013-03-15,17,male
DAMIANO Cesare,damiano cesare,Q1071053,2013-03-15,17,male
DE GIROLAMO Nunzia,de girolamo nunzia,Q3879474,2015-09-22,17,female
DE LORENZIS Diego,de lorenzis diego,Q16549635,2013-03-15,17,male
DE MARIA Andrea,de maria andrea,Q16268320,2013-03-15,17,male
DE MENECH Roger,de menech roger,Q15535050,2013-03-15,17,male
DE MICHELI Paola,de micheli paola,Q3893547,2013-03-15,17,female
DE ROSA Massimo Felice,de rosa massimo felice,Q16576953,2013-03-15,17,male
DEL BASSO DE CARO Umberto,del basso de caro umberto,Q15691396,2013-03-15,17,male
DEL GROSSO Daniele,del grosso daniele,Q16546529,2013-03-15,17,male
DELL'ARINGA Carlo,dell'aringa carlo,Q3659266,2013-03-15,17,male
DELL'ORCO Michele,dell'orco michele,Q16268328,2013-03-15,17,male
DELLA VALLE Ivan,della valle ivan,Q16566836,2013-03-15,17,male
DELLAI Lorenzo,dellai lorenzo,Q327946,2013-12-10,17,male
DI BATTISTA Alessandro,di battista alessandro,Q15705335,2013-03-15,17,male
DI BENEDETTO Chiara,di benedetto chiara,Q16539625,2013-03-15,17,female
DI GIOIA Lello,di gioia lello,Q16571889,2017-01-19,17,male
DI LELLO Marco,di lello marco,Q3846070,2017-01-19,17,male
DI MAIO Luigi,di maio luigi,Q13581225,2013-03-15,17,male
DI MAIO Marco,di maio marco,Q16268332,2013-03-15,17,male
DI SALVO Titti,di salvo titti,Q3991952,2014-11-17,17,female
DI STEFANO Fabrizio,di stefano fabrizio,Q3738016,2013-03-15,17,male
DI STEFANO Manlio,di stefano manlio,Q16575444,2013-03-15,17,male
DI STEFANO Marco,di stefano marco,Q16575815,2013-08-08,17,male
DI VITA Giulia,di vita giulia,Q16560395,2013-03-15,17,female
DIENI Federica,dieni federica,Q16555470,2013-03-15,17,female
DISTASO Antonio,distaso antonio,Q3619537,2015-11-19,17,male
DONATI Marco,donati marco,Q13472808,2013-03-15,17,male
DURANTI Donatella,duranti donatella,Q3713696,2013-03-15,17,female
EPIFANI Ettore Guglielmo,epifani ettore guglielmo,Q3119274,2013-03-15,17,male
ERMINI David,ermini david,Q15972740,2013-03-15,17,male
FABBRI Marilena,fabbri marilena,Q15144150,2013-03-15,17,female
FAENZI Monica,faenzi monica,Q3860820,2016-10-13,17,female
FALCONE Giovanni,falcone giovanni,Q25864587,2015-07-27,17,male
FAMIGLIETTI Luigi,famiglietti luigi,Q15120159,2013-03-15,17,male
FANTINATI Mattia,fantinati mattia,Q16577172,2013-03-15,17,male
FANUCCI Edoardo,fanucci edoardo,Q15961957,2013-03-15,17,male
FARAONE Davide,faraone davide,Q15972775,2013-03-15,17,male
FARINA Daniele,farina daniele,Q3701956,2013-03-15,17,male
FARINA Gianni,farina gianni,Q15888162,2013-03-15,17,male
FASSINA Stefano,fassina stefano,Q3972490,2015-11-06,17,male
FAUTTILLI Federico,fauttilli federico,Q15936370,2013-12-10,17,male
FAVA Claudio,fava claudio,Q517161,2015-11-06,17,male
FEDI Marco,fedi marco,Q16575824,2013-03-15,17,male
FEDRIGA Massimiliano,fedriga massimiliano,Q3851022,2013-03-15,17,male
FERRANTI Donatella,ferranti donatella,Q15958468,2013-03-15,17,female
FERRARA Francesco Detto Ciccio,ferrara francesco detto ciccio,Q3749967,2013-03-15,17,male
FERRARESI Vittorio,ferraresi vittorio,Q15711788,2013-03-15,17,male
FERRARI Alan,ferrari alan,Q15059115,2013-03-15,17,male
FERRO Andrea,ferro andrea,Q15063204,2013-03-15,17,male
FIANO Emanuele,fiano emanuele,Q3723925,2013-03-15,17,male
FICO Roberto,fico roberto,Q7484547,2013-03-15,17,male
FIORIO Massimo,fiorio massimo,Q3851255,2013-03-15,17,male
FIORONI Giuseppe,fioroni giuseppe,Q730910,2013-03-15,17,male
FITZGERALD NISSOLI Fucsia,fitzgerald nissoli fucsia,Q8467023,2013-12-10,17,female
FOLINO Vincenzo,folino vincenzo,Q16621792,2015-11-06,17,male
FONTANA Cinzia Maria,fontana cinzia maria,Q3677351,2013-03-15,17,female
FONTANA Gregorio,fontana gregorio,Q11703835,2013-03-15,17,male
FONTANELLI Paolo,fontanelli paolo,Q3894052,2013-03-15,17,male
FORMISANO Aniello,formisano aniello,Q3617472,2017-01-19,17,male
FOSSATI Filippo,fossati filippo,Q15931670,2013-03-15,17,male
FRACCARO Riccardo,fraccaro riccardo,Q9035872,2013-03-15,17,male
FRAGOMELI Gian Mario,fragomeli gian mario,Q13478639,2013-03-15,17,male
FRANCESCHINI Dario,franceschini dario,Q388442,2013-03-15,17,male
FRATOIANNI Nicola,fratoianni nicola,Q16582388,2013-03-15,17,male
FREGOLENT Silvia,fregolent silvia,Q16606250,2013-03-15,17,female
FRUSONE Luca,frusone luca,Q16573834,2013-03-15,17,male
FUCCI Benedetto Francesco,fucci benedetto francesco,Q3638079,2015-11-19,17,male
FURNARI Alessandro,furnari alessandro,Q16525109,2013-06-06,17,male
FUSILLI Gianluca,fusilli gianluca,Q19279914,2014-10-07,17,male
GADDA Maria Chiara,gadda maria chiara,Q15142814,2013-03-15,17,female
GAGNARLI Chiara,gagnarli chiara,Q16539630,2013-03-15,17,female
GALATI Giuseppe,galati giuseppe,Q28070590,2016-10-13,17,male
GALGANO Adriana,galgano adriana,Q14527123,2013-03-15,17,female
GALLI Carlo,galli carlo,Q12016223,2015-11-06,17,male
GALLI Giampaolo,galli giampaolo,Q15896957,2013-03-15,17,male
GALLINELLA Filippo,gallinella filippo,Q16556045,2013-03-15,17,male
GALLO Luigi,gallo luigi,Q15120189,2013-03-15,17,male
GALLO Riccardo,gallo riccardo,Q15465677,2013-03-15,17,male
GALPERTI Guido,galperti guido,Q3779289,2013-03-15,17,male
GANDOLFI Paolo,gandolfi paolo,Q15300690,2013-03-15,17,male
GARAVINI Laura,garavini laura,Q106446,2013-03-15,17,female
GARNERO SANTANCHE' Daniela,garnero santanche' daniela,Q181794,2013-03-15,17,female
GAROFALO Vincenzo,garofalo vincenzo,Q4013289,2013-11-18,17,male
GAROFANI Francesco Saverio,garofani francesco saverio,Q15791568,2013-03-15,17,male
GASPARINI Daniela Matilde Maria,gasparini daniela matilde maria,Q15972639,2013-03-15,17,female
GEBHARD Renate,gebhard renate,Q6444641,2013-03-21,17,female
GELLI Federico,gelli federico,Q15936360,2013-03-15,17,male
